Amanab;amn
Amo;amo
Alamblak;amp
Amahai;amq
Amarakaeri;amr
Southern Amami Ōshima;ams
Amto;amt
Guerrero Amuzgo;amu
Ambelau;amv
Western Neo-Aramaic;amw
Anmatyerre;amx
Ami;amy
Atampaya;amz
Andoa;anb
Ngas;anc
Ansus;and
Xârâcùù;ane
Animere;anf
Old English;ang
Nend;anh
Andi;ani
Anor;anj
Goemai;ank
Anu;anl
Anāl;anm
Obolo;ann
Andoque;ano
Angika;anp
Jarawa;anq
Andh;anr
Anserma;ans
Antakarinya;ant
Anuak;anu
Denya;anv
Anaang;anw
Andra-Hus;anx
Anyi;any
Anem;anz
Angolar;aoa
Abom;aob
Pemon;aoc
Andarum;aod
Angal Enen;aoe
Bragat;aof
Angoram;aog
Anindilyakwa;aoi
Mufian;aoj
Arhö;aok
Alorese;aol
Ömie;aom
Bumbita Arapesh;aon
Aore;aor
Taikat;aos
Atong (India);aot
A'ou;aou
Atorada;aox
Uab Meto;aoz
Sa'a;apb
North Levantine Arabic;apc
Sudanese Arabic;apd
Bukiyip;ape
Pahanan Agta;apf
Ampanang;apg
Athpare;aph
Apiaká;api
Jicarilla;apj
Plains Apache;apk
Lipan;apl
Chiricahua;apm
Apinayé;apn
Ambul;apo
Apma;app
A-Pucikwar;apq
Arop-Lokep;apr
Arop-Sissano;aps
Apatani;apt
Apurinã;apu
Alapmunte;apv
Western Apache;apw
Aputai;apx
Apalaí;apy
Safeyoka;apz
Archi;aqc
Ampari Dogon;aqd
Arigidi;aqg
Atohwaim;aqm
Northern Alta;aqn
Atakapa;aqp
Arhâ;aqr
Angaité;aqt
Akuntsu;aqz
Aramaic;arc
Arabana;ard
Western Arrernte;are
Arhuaco;arh
Arikara;ari
Arapaso;arj
Arikapú;ark
Arabela;arl
Mapudungun;arn
Araona;aro
Arapaho;arp
Algerian Arabic;arq
Arara-Karo;arr
Najdi Arabic;ars
Arua;aru
Arbore;arv
Lokono;arw
Aruá;arx
Moroccan Arabic;ary
Egyptian Arabic;arz
Pare;asa
Assiniboine;asb
Casuarina Coast Asmat;asc
American Sign Language;ase
Auslan;asf
Cishingini;asg
Abishira;ash
Buruwai;asi
Nsari;asj
Ashkun;ask
Asilulu;asl
Xingú Asuriní;asn
Dano;aso
Austrian Sign Language;asq
Asuri;asr
Ipulo;ass
Asturian;ast
Tocantins Asurini;asu
Asoa;asv
Australian Aboriginal Sign Language;asw
Muratayak;asx
Yaosakor Asmat;asy
As;asz
Pele-Ata;ata
Zaiwa;atb
Atsahuaca;atc
Ata Manobo;atd
Atemble;ate
Okpela;atg
Attié;ati
Atikamekw;atj
Ati;atk
Mount Iraya Agta;atl
Ata;atm
Atong (Cameroon);ato
Pudtol Atta;atp
Aralle-Tabulahan;atq
Waimiri-Atroari;atr
Gros Ventre;ats
Pamplona Atta;att
Reel;atu
Northern Altai;atv
Atsugewi;atw
Aneityum;aty
Arta;atz
Asumboa;aua
Alugu;aub
Huaorani;auc
Anuta;aud
Aguna;aug
Aushi;auh
Anuki;aui
Awjila;auj
Heyo;auk
Aulua;aul
Asu;aum
Molmo One;aun
Auyokawa;auo
Makayam;aup
Anus;auq
Aruek;aur
Austral;aut
Auye;auu
Awyi;auw
Aurá;aux
Auyana;auy
Uzbeki Arabic;auz
Avau;avb
Alviri-Vidari;avd
Avikam;avi
Kotava;avk
Angkamuthi;avm
Avatime;avn
Agavotaguerra;avo
Aushiri;avs
Au;avt
Avokaya;avu
Avá-Canoeiro;avv
Awadhi;awa
Awa (New Guinea);awb
Cicipu;awc
Awetí;awe
Anguthimri;awg
Awbono;awh
Aekyom;awi
Awabakal;awk
Arawum;awm
Awngi;awn
Awak;awo
Awera;awr
South Awyu;aws
Araweté;awt
Central Awyu;awu
Jair Awyu;awv
Awun;aww
Awara;awx
Edera Awyu;awy
Abipón;axb
Ayerrerenge;axe
Aka (Central Africa);axk
Lower Southern Aranda;axl
Middle Armenian;axm
Xârâgurè;axx
Awar;aya
Ayizo;ayb
Ayabadhu;ayd
Ayere;aye
Nyanga (Togo);ayg
Leyigha;ayi
Akuku;ayk
Libyan Arabic;ayl
Yemeni Arabic;ayn
Ayoreo;ayo
North Mesopotamian Arabic;ayp
Ayi;ayq
Sorsogon Ayta;ays
Bataan Ayta;ayt
Ayu;ayu
Tayabas Ayta;ayy
Maybrat;ayz
Azha;aza
Eastern Durango Nahuatl;azd
San Pedro Amuzgos Amuzgo;azg
Ipalapa Amuzgo;azm
Western Durango Nahuatl;azn
Awing;azo
Faire Atta;azt
Highland Puebla Nahuatl;azz
Babatana;baa
Bainouk-Gunyuño;bab
Baduy;bac
Baré;bae
Nubaca;baf
Tuki;bag
Bahamian Creole;bah
Barakai;baj
Baluchi;bal
Balinese;ban
Waimaha;bao
Bantawa;bap
Bavarian;bar
Basaa;bas
Badanchi;bau
Babungo;bav
Bambili-Bambui;baw
Bamum;bax
Batuley;bay
Baatonum;bba
Barai;bbb
Toba Batak;bbc
Bau;bbd
Bangba;bbe
Baibai;bbf
Barama;bbg
Bugan;bbh
Barombi;bbi
Ghomala';bbj
Babanki;bbk
Bats;bbl
Babango;bbm
Uneapa;bbn
Konabéré;bbo
West Central Banda;bbp
Bamali;bbq
Girawa;bbr
Bakpinka;bbs
Mburku;bbt
Bakulung;bbu
Karnai;bbv
Baba;bbw
Bubia;bbx
Befang;bby
Central Bai;bca
Bainouk-Samik;bcb
North Babar;bcd
Bamenyam;bce
Bamu;bcf
Baga Pokur;bcg
Bariai;bch
Baoule;bci
Bardi;bcj
Bunaba;bck
Bikol Central;bcl
Banoni;bcm
Bibaali;bcn
Kaluli;bco
Bali;bcp
Bench;bcq
Babine-Witsuwit'en;bcr
Kohumono;bcs
Bendi;bct
Biliau;bcu
Shoo-Minda-Nye;bcv
Bana;bcw
Bacama;bcy
Bainouk-Gunyaamolo;bcz
Bayot;bda
Basap;bdb
Emberá-Baudó;bdc
Bunama;bdd
Bade;bde
Biage;bdf
Bonggi;bdg
Tara Baka;bdh
Burun;bdi
Bai;bdj
Budukh;bdk
Indonesian Bajau;bdl
Buduma;bdm
Baldemu;bdn
Morom;bdo
Bende;bdp
Bahnar;bdq
West Coast Bajau;bdr
Burunge;bds
Bokoto;bdt
Oroko;bdu
Bodo Parja;bdv
Baham;bdw
Budong-Budong;bdx
Bandjalang;bdy
Badeshi;bdz
Beaver;bea
Bebele;beb
Iceve-Maci;bec
Bedoanas;bed
Byangsi;bee
Benabena;bef
Belait;beg
Biali;beh
Bekati';bei
Beja;bej
Bebeli;bek
Bemba;bem
Beami;beo
Besoa;bep
Beembe;beq
Besme;bes
Guiberoua Bété;bet
Blagar;beu
Daloa Bété;bev
Betawi;bew
Jur Modo;bex
Akuwagel;bey
Kibena;bez
Bari;bfa
Pauri Bareli;bfb
Panyi Bai;bfc
Bafut;bfd
Betaf;bfe
Bofi;bff
Busang Kayan;bfg
Blafe;bfh
British Sign Language;bfi
Bafanji;bfj
Banda-Ndélé;bfl
Mmen;bfm
Bunak;bfn
Malba Birifor;bfo
Beba;bfp
Badaga;bfq
Southern Bai;bfs
Balti;bft
Gahri;bfu
Bondo;bfw
Bantayanon;bfx
Bagheli;bfy
Mahasu Pahari;bfz
Gwamhi-Wuri;bga
Bobongko;bgb
Haryanvi;bgc
Rathwi Bareli;bgd
Bauria;bge
Bangandu;bgf
Bugun;bgg
Giangan;bgi
Bangolan;bgj
Bit;bgk
Baga Koga;bgo
Bagri;bgq
Bawm Chin;bgr
Tagabawa;bgs
Bughotu;bgt
Mbongno;bgu
Warkay-Bipim;bgv
Bhatri;bgw
Balkan Gagauz Turkish;bgx
Benggoi;bgy
Banggai;bgz
Bharia;bha
Bhili;bhb
Biga;bhc
Bhadrawahi;bhd
Odiai;bhf
Binandere;bhg
Bukhari;bhh
Bhilali;bhi
Bahing;bhj
Bimin;bhl
Bathari;bhm
Bohtan Neo-Aramaic;bhn
Bhojpuri;bho
Bima;bhp
Tukang Besi South;bhq
Buwal;bhs
Bhattiyali;bht
Bhunjia;bhu
Bahau;bhv
Biak;bhw
Bhele;bhy
Bada;bhz
Badimaya;bia
Bissa;bib
Bikaru;bic
Bidiyo;bid
Bepour;bie
Biafada;bif
Biangai;big
Kwanka;bij
Bile;bil
Bimoba;bim
Edo;bin
Nai;bio
Bila;bip
Bipi;biq
Bisorio;bir
Berinomo;bit
Biete;biu
Southern Birifor;biv
Kol (Cameroon);biw
Bijori;bix
Birhor;biy
Baloi;biz
Budza;bja
Barngarla;bjb
Bariji;bjc
Biao-Jiao Mien;bje
Barzani Jewish Neo-Aramaic;bjf
Bidyogo;bjg
Bahinemo;bjh
Burji;bji
Kannauji;bjj
Barok;bjk
Bulu (New Guinea);bjl
Bajelani;bjm
Banjarese;bjn
Mid-Southern Banda;bjo
Fanamaket;bjp
Binumarien;bjr
Bajan;bjs
Balanta-Ganja;bjt
Busuu;bju
Bedjond;bjv
Bakwé;bjw
Banao Itneg;bjx
Bayali;bjy
Baruga;bjz
Kyak;bka
Baka;bkc
Binukid;bkd
Beeke;bkf
Buraka;bkg
Bakoko;bkh
Baki;bki
Pande;bkj
Brokskat;bkk
Berik;bkl
Kom (Cameroon);bkm
Bukitan;bkn
Kwa';bko
Iboko;bkp
Bakairí;bkq
Bakumpai;bkr
Masbate Sorsogon;bks
Boloki;bkt
Buhid;bku
Bekwarra;bkv
Bekwel;bkw
Baikeno;bkx
Bokyi;bky
Bungku;bkz
Blackfoot;bla
Bilua;blb
Bella Coola;blc
Bolango;bld
Balanta-Kentohe;ble
Buol;blf
Balau;blg
Kuwaa;blh
Bolia;bli
Bolongan;blj
Pa'o Karen;blk
Biloxi;bll
Beli;blm
Southern Catanduanes Bicolano;bln
Anii;blo
Blablanga;blp
Baluan-Pam;blq
Blang;blr
Balaesang;bls
Tai Dam;blt
Kibala;blv
Balangao;blw
Mag-Indi Ayta;blx
Notre;bly
Balantak;blz
Lame;bma
Bembe;bmb
Biem;bmc
Baga Manduri;bmd
Limassa;bme
Bom;bmf
Bamwe;bmg
Kein;bmh
Bagirmi;bmi
Bote-Majhi;bmj
Ghayavi;bmk
Bomboli;bml
Bina;bmn
Bambalang;bmo
Bulgebi;bmp
Bomu;bmq
Muinane;bmr
Somba-Siawari;bmu
Bum;bmv
Bomwali;bmw
Baimak;bmx
Baramu;bmz
Bonerate;bna
Bookan;bnb
Banda;bnd
Bintauna;bne
Masiwang;bnf
Benga;bng
Bangi;bni
Eastern Tawbuid;bnj
Bierebo;bnk
Boon;bnl
Batanga;bnm
Bunun;bnn
Asi;bno
Bola;bnp
Bantik;bnq
Butmas-Tur;bnr
Bundeli;bns
Bentong;bnu
Beneraf;bnv
Bisis;bnw
Bangubangu;bnx
Bintulu;bny
Beezen;bnz
Bora;boa
Aweer;bob
Mundabli;boe
Bolon;bof
North Boma;boh
Barbareño;boi
Anjam;boj
Bonjo;bok
Bole;bol
Berom;bom
Bine;bon
Tiemacèwè Bozo;boo
Bonkiman;bop
Bogaya;boq
Borôro;bor
Bongo;bot
Bondei;bou
Tuwuli;bov
Rema;bow
Buamu;box
Bodo (Central Africa);boy
Tiéyaxo Bozo;boz
Daakaka;bpa
Banda-Banda;bpd
Bonggo;bpg
Botlikh;bph
Bagupi;bpi
Binji;bpj
Orowe;bpk
Broome Pearling Lugger Pidgin;bpl
Biyom;bpm
Anasi;bpo
Kaure;bpp
Banda Malay;bpq
Koronadal Blaan;bpr
Sarangani Blaan;bps
Barrow Point;bpt
Bongu;bpu
Bian Marind;bpv
Palya Bareli;bpx
Bishnupriya Manipuri;bpy
Bilba;bpz
Tchumbuli;bqa
Bagusa;bqb
Boko;bqc
Bung;bqd
Baga Kaloum;bqf
Bakhtiari;bqi
Bandial;bqj
Banda-Mbrès;bqk
Bilakura;bql
Wumboko;bqm
Balo;bqo
Busa;bqp
Biritai;bqq
Burusu;bqr
Bosngun;bqs
Bamukumbit;bqt
Boguru;bqu
Begbere-Ejar;bqv
Buru (Nigeria);bqw
Baangi;bqx
Bakaka;bqz
Braj;bra
Berbice Creole Dutch;brc
Baraamu;brd
Bera;brf
Baure;brg
Brahui;brh
Mokpwe;bri
Bieria;brj
Birgid;brk
Birwa;brl
Barambu;brm
Boruca;brn
Brokkat;bro
Barapasi;brp
Breri;brq
Birao;brr
Baras;brs
Bitare;brt
Eastern Bru;bru
Western Bru;brv
Bellari;brw
Bodo (India);brx
Burui;bry
Bilbil;brz
Abinomn;bsa
Brunei Bisaya;bsb
Bassari;bsc
Wushi;bse
Bauchi;bsf
Bashkardi;bsg
Kamkata-viri;bsh
Bassossi;bsi
Bangwinji;bsj
Burushaski;bsk
Basa-Gumna;bsl
Busami;bsm
Barasana;bsn
Buso;bso
Baga Sitemu;bsp
Bassa;bsq
Bassa-Kontagora;bsr
Akoose;bss
Basketo;bst
Bahonsuai;bsu
Baga Sobané;bsv
Baiso;bsw
Yangkam;bsx
Sabah Bisaya;bsy
Bata;bta
Bati (Cameroon);btc
Dairi Batak;btd
Gamo-Ningi;bte
Birgit;btf
Gagnoa Bété;btg
Biatah Bidayuh;bth
Burate;bti
Bacanese Malay;btj
Mandailing Batak;btm
Ratagnon;btn
Iriga Bicolano;bto
Budibud;btp
Batek;btq
Baetora;btr
Simalungun Batak;bts
Bete-Bendi;btt
Batu;btu
Bateri;btv
Butuanon;btw
Karo Batak;btx
Bobot;bty
Alas-Kluet Batak;btz
Buryat;bua
Bua;bub
Ntcham;bud
Bushoong;buf
Buginese;bug
Younuo Bunu;buh
Bongili;bui
Basa-Gurmana;buj
Bukawa;buk
Bulu (Cameroon);bum
Sherbro;bun
Terei;buo
Busoa;bup
Brem;buq
Bokobaru;bus
Bungain;but
Budu;buu
Bun;buv
Bubi;buw
Boghom;bux
Mmani;buy
Barein;bva
Bube;bvb
Baelelea;bvc
Baeggu;bvd
Berau Malay;bve
Boor;bvf
Bonkeng;bvg
Bure;bvh
Belanda Viri;bvi
Baan;bvj
Bukat;bvk
Bolivian Sign Language;bvl
Bamunka;bvm
Buna;bvn
Bolgo;bvo
Birri;bvq
Burarra;bvr
Bati (Indonesia);bvt
Bukit Malay;bvu
Baniva;bvv
Boga;bvw
Babole;bvx
Baybayanon;bvy
Bauzi;bvz
Bwatoo;bwa
Namosi-Naitasiri-Serua;bwb
Bwile;bwc
Bwaidoka;bwd
Bwe Karen;bwe
Boselewa;bwf
Barwe;bwg
Bishuo;bwh
Baniwa;bwi
Láá Láá Bwamu;bwj
Bauwaki;bwk
Bwela;bwl
Biwat;bwm
Shinasha;bwo
Mandobo Bawah;bwp
Southern Bobo;bwq
Bura;bwr
Bomboma;bws
Bafaw;bwt
Buli (Ghana);bwu
Bwa;bww
Bu-Nao Bunu;bwx
Cwi Bwamu;bwy
Bwisi;bwz
Bauro;bxa
Belanda Bor;bxb
Molengue;bxc
Bilur;bxf
Bangala;bxg
Buhutu;bxh
Pirlatapa;bxi
Bayungu;bxj
Bukusu;bxk
Jalkunan;bxl
Burduna;bxn
Barikanchi;bxo
Bebil;bxp
Beele;bxq
Busam;bxs
Berakou;bxv
Banka;bxw
Binahari;bxz
Palawan Batak;bya
Bikya;byb
Ubaghara;byc
Benyadu';byd
Pouye;bye
Bete;byf
Baygo;byg
Bujhyal;byh
Buyu;byi
Binawa;byj
Biao;byk
Bayono;byl
Bidyara;bym
Blin;byn
Biyo;byo
Bumaji;byp
Basay;byq
Baruya;byr
Burak;bys
Berti;byt
Medumba;byv
Belhariya;byw
Qaqet;byx
Banaro;byz
Bandi;bza
Andio;bzb
Bribri;bzd
Jenaama Bozo;bze
Boikin;bzf
Babuza;bzg
Mapos Buang;bzh
Bisu;bzi
Belizean Creole;bzj
Nicaraguan Creole;bzk
Boano (Sulawesi);bzl
Bolondo;bzm
Boano (Maluku);bzn
Bozaba;bzo
Kemberano;bzp
Buli (Indonesia);bzq
Biri;bzr
Brazilian Sign Language;bzs
Burmeso;bzu
Bebe;bzv
Basa;bzw
Hainyaxo Bozo;bzx
Obanliku;bzy
Evant;bzz
Ch'orti';caa
Garifuna;cab
Chuj;cac
Caddo;cad
Laalaa;cae
Southern Carrier;caf
Nivaclé;cag
Cahuarano;cah
Chané;caj
Kaqchikel;cak
Carolinian;cal
Cèmuhî;cam
Chambri;can
Chácobo;cao
Chipaya;cap
Car Nicobarese;caq
Kari'na;car
Tsimané;cas
Cavineña;cav
Kallawaya;caw
Chiquitano;cax
Cayuga;cay
Canichana;caz
Cabiyarí;cbb
Carapana;cbc
Carijona;cbd
Chimila;cbg
Chachi;cbi
Ede Cabe;cbj
Chavacano;cbk
Bualkhaw Chin;cbl
Nyah Kur;cbn
Izora;cbo
Tsucuba;cbq
Cashibo-Cacataibo;cbr
Cashinahua;cbs
Chayahuita;cbt
Candoshi-Shapra;cbu
Cacua;cbv
Kinabalian;cbw
Carabayo;cby
Cauca;cca
Chamicuro;ccc
Cafundó;ccd
Chopi;cce
Chamba Daka;ccg
Atsam;cch
Kasanga;ccj
Cutchi-Swahili;ccl
Malaccan Creole Malay;ccm
Comaltepec Chinantec;cco
Chakma;ccp
Cacaopera;ccr
Chenchu;cde
Chiru;cdf
Chambeali;cdh
Chodri;cdi
Churahi;cdj
Chepang;cdm
Eastern Min;cdo
Cinda-Regi-Tiyal;cdr
Chadian Sign Language;cds
Koda;cdz
Lower Chehalis;cea
Cebuano;ceb
Chamacoco;ceg
Cen;cen
Centúúm;cet
Dijim-Bwilim;cfa
Cara;cfd
Como Karim;cfg
Falam Chin;cfm
Changriwa;cga
Kagayanen;cgc
Rukiga;cgg
Chocangaca;cgk
Chibcha;chb
Catawba;chc
Highland Oaxaca Chontal;chd
Tabasco Chontal;chf
Chagatai;chg
Chinook;chh
Ojitlán Chinantec;chj
Chuukese;chk
Cahuilla;chl
Chinook Jargon;chn
Choctaw;cho
Chipewyan;chp
Quiotepec Chinantec;chq
Cherokee;chr
Chuabo;chw
Chantyal;chx
Cheyenne;chy
Ozumacín Chinantec;chz
Cia-Cia;cia
Ci Gbe;cib
Chickasaw;cic
Chimariko;cid
Cineni;cie
Chinali;cih
Cimbrian;cim
Cinta Larga;cin
Chiapanec;cip
Tîrî;cir
Chaima;ciy
Western Cham;cja
Chru;cje
Upper Chehalis;cjh
Chamalal;cji
Chokwe;cjk
Eastern Cham;cjm
Chenapian;cjn
Ashéninka Pajonal;cjo
Cabécar;cjp
Shor;cjs
Chuave;cjv
Jin;cjy
Central Kurdish;ckb
Chak;ckh
Cibak;ckl
Kaang Chin;ckn
Anufo;cko
Kajakse;ckq
Kairak;ckr
Tayo;cks
Chukchi;ckt
Koasati;cku
Kavalan;ckv
Caka;ckx
Cakfem-Mushere;cky
Kaqchikel-K'iche' Mixed Language;ckz
Ron;cla
Chilcotin;clc
Chaldean Neo-Aramaic;cld
Lealao Chinantec;cle
Chilisso;clh
Chakali;cli
Idu;clk
Chala;cll
Klallam;clm
Lowland Oaxaca Chontal;clo
Lutuv;clt
Caluyanun;clu
Chulym;clw
Eastern Highland Chatino;cly
Mạ;cma
Cerma;cme
Classical Mongolian;cmg
Emberá-Chamí;cmi
Campalagian;cml
Michigamea;cmm
Mandarin;cmn
Central Mnong;cmo
Messapic;cms
Camtho;cmt
Changthang;cna
Cốông;cnc
Northern Qiang;cng
Lai;cnh
Asháninka;cni
Khumi Chin;cnk
Lalana Chinantec;cnl
Northern Pinghua;cnp
Central Asmat;cns
Tepetotutla Chinantec;cnt
Chenoua;cnu
Middle Cornish;cnx
Cocos Islands Malay;coa
Chicomuceltec;cob
Cocopa;coc
Cocama;cod
Koreguaje;coe
Tsafiki;cof
Chong;cog
Chichonyi-Chidzihana-Chikauma;coh
Cochimi;coj
Santa Teresa Cora;cok
Columbia-Wenatchi;col
Comanche;com
Cofán;con
Comox;coo
Coptic;cop
Coquille;coq
Caquinte;cot
Wamey;cou
Cowlitz;cow
Nanti;cox
Coyaima;coy
Chochotec;coz
Palantla Chinantec;cpa
Ucayali-Yurúa Ashéninka;cpb
Ajyíninka Apurucayali;cpc
Cappadocian Greek;cpg
Chinese Pidgin English;cpi
Cherepon;cpn
Capiznon;cps
Pichis Ashéninka;cpu
Puxian Min;cpx
South Ucayali Ashéninka;cpy
Chuanqiandian Cluster Miao;cqd
Chara;cra
Kalinago;crb
Lonwolwol;crc
Coeur d'Alene;crd
Caramanta;crf
Michif;crg
Crimean Tatar;crh
Sãotomense;cri
Southern East Cree;crj
Plains Cree;crk
Northern East Cree;crl
Moose Cree;crm
Cora;crn
Crow;cro
Iyo'wujwa Chorote;crq
Carolina Algonquian;crr
Seychellois Creole;crs
Iyojwa'ja Chorote;crt
Chaura;crv
Chrau;crw
Carrier;crx
Cori;cry
Cruzeño;crz
Chiltepec Chinantec;csa
Kashubian;csb
Catalan Sign Language;csc
Czech Sign Language;cse
Cuban Sign Language;csf
Chilean Sign Language;csg
Coast Miwok;csi
Jola-Kasa;csk
Central Sierra Miwok;csm
Colombian Sign Language;csn
Sochiapam Chinantec;cso
Southern Pinghua;csp
Costa Rican Sign Language;csr
Southern Ohlone;css
Northern Ohlone;cst
Swampy Cree;csw
Coos;csz
Tataltepec Chatino;cta
Chetco-Tolowa;ctc
Tedim Chin;ctd
Tepinapa Chinantec;cte
Chittagonian;ctg
Tlacoatzintepec Chinantec;ctl
Chitimacha;ctm
Chhintange;ctn
Emberá-Catío;cto
Western Highland Chatino;ctp
Northern Catanduanes Bicolano;cts
Wayanad Chetti;ctt
Chol;ctu
Zacatepec Chatino;ctz
Cua;cua
Cubeo;cub
Usila Chinantec;cuc
Cung;cug
Chuka;cuh
Cuiba;cui
Mashco Piro;cuj
Kuna;cuk
Culina;cul
Cumanagoto;cuo
Cupeño;cup
Cun;cuq
Chhulung;cur
Teutila Cuicatec;cut
Tai Ya;cuu
Cuvok;cuv
Tepeuxila Cuicatec;cux
Cuitlatec;cuy
Chug;cvg
Valle Nacional Chinantec;cvn
Kabwa;cwa
Maindo;cwb
Woods Cree;cwd
Kwere;cwe
Chewong;cwg
Kuwaataay;cwt
Nopala Chatino;cya
Cayubaba;cyb
Cuyunon;cyo
Huizhou;czh
Knaanic;czk
Zenzontepec Chatino;czn
Central Min;czo
Zotung Chin;czt
Dangaléat;daa
Dambi;dac
Marik;dad
Duupa;dae
Dagbani;dag
Gwahatike;dah
Day;dai
Dar Fur Daju;daj
Dakota;dak
Dahalo;dal
Damakawa;dam
Daai Chin;dao
Dandami Maria;daq
Dargwa;dar
Daho-Doo;das
Dar Sila Daju;dau
Taita;dav
Davawenyo;daw
Dayi;dax
Dao;daz
Bangime;dba
Deno;dbb
Dadiya;dbd
Dabe;dbe
Edopi;dbf
Dogul Dom;dbg
Doka;dbi
Ida'an;dbj
Dyirbal;dbl
Duguri;dbm
Duriankere;dbn
Dulbu;dbo
Duwai;dbp
Daba;dbq
Ben Tey;dbt
Bondum Dom Dogon;dbu
Dungu;dbv
Bankan Tey Dogon;dbw
Dibiyaso;dby
Deccani;dcc
Negerhollands;dcr
Dadi Dadi;dda
Doondo;dde
Fataluku;ddg
Diodio;ddi
Jaru;ddj
Dendi;ddn
Tsez;ddo
Dhudhuroa;ddr
Donno So Dogon;dds
Dawera-Daweloor;ddw
Dagik;dec
Dedua;ded
Dewoin;dee
Degema;deg
Dehwari;deh
Demisa;dei
Dem;dem
Pidgin Delaware;dep
Deori;der
Desano;des
Domung;dev
Dengese;dez
Southern Dagaare;dga
Bunoge;dgb
Casiguran Dumagat Agta;dgc
Dagaari Dioula;dgd
Degenan;dge
Doga;dgg
Dghwede;dgh
Northern Dagara;dgi
